Unidade_Federacao;Proporcao_Residencia;Proporcao_Vulnerabilidade;IVM_NM;Moradia;Servicos_Publicos;Saude_Alimentacao;Educacao;Servicos_Financeiros;Transporte_Lazer
       Brasil;100.0;63.8105328;7.696250139999999;15;14.9;15.1;18.6;19.5;16.8
Rondônia;0.8394716099999999;84.84863682;10.23489293;13.519174595046291;24.494845507742152;9.53493230236802;18.857424019378147;17.19518528673085;16.39843828873454
Acre;0.4094227;89.00282417999999;15.085903140000001;15.192401127915575;19.49108115401709;14.585037261243079;17.890552997210825;17.153146037233892;15.687781422379537
Amazonas;1.88063999;83.61929294;12.823811399999999;16.457750510424376;17.493180160731963;14.416711037737704;15.87882962980182;19.802678833526883;15.950849827777255
Roraima;0.2446688;72.34335388999999;8.4173221;17.830179734094067;19.397734466638532;11.229840895858626;17.738135438011383;19.252964366329863;14.551145099067531
Pará;4.0734408;89.05627452;15.654996630000001;14.970581868361243;19.50645711670455;14.946961487107979;16.936321601371617;19.38659369962711;14.253084226827498
Amapá;0.39312825999999995;88.45420429;13.454299370000001;16.08115685384454;21.250203890519423;14.858376621101572;15.95849027031978;17.386283974522918;14.46548838969177
Tocantins;0.74116499;80.65363963;9.72043222;15.269695639381345;16.121336446425953;12.603377529177495;17.91853296985749;20.170405544180774;17.916651870976942
Maranhão;3.3730294700000005;93.32370382;17.40314201;15.118257279242927;18.01866548763574;15.656421257482398;17.582413765823418;19.1907110743887;14.433531135426813
Piauí;1.5744688400000002;85.22046669;12.44174624;14.223127678545142;19.20077686410484;10.539309088274214;19.5156995212219;19.92225884128892;16.59882800656499
Ceará;4.36487975;78.92312882;10.11097352;15.279715584572271;16.331414926967035;13.709847212798257;19.681098046625277;21.496628209517088;13.50129601952007
Rio Grande do Norte;1.6733959699999998;81.92241339;11.73753669;14.5943085897526;16.362396956253622;16.645843742837528;19.443432840348805;19.159887960635164;13.794129910172284
Paraíba;1.91402813;81.17352902;12.131723480000002;14.596870634780911;17.016602249411626;13.565302279058317;19.417124602284986;20.024598725080637;15.379501509383523
Pernambuco;4.54512754;81.37847419;11.8555203;15.090711027552478;17.373304695944206;15.519815350278227;17.895012527828364;19.625434375136706;14.495722023260022
Alagoas;1.59836984;85.2646668;13.07965232;15.124121988119118;17.940628725550656;15.008262294130065;19.65702120285495;20.2755302730425;11.994435516302717
Sergipe;1.09526409;76.41602324;10.00146935;14.733810608015164;14.142948558115807;16.164901253008;19.80430218817604;20.402316335492962;14.75172105719203
Bahia;7.129334180000001;79.89634892000001;11.28329607;13.454267499692701;15.877119176719507;15.21515669408751;18.80583356507038;20.043752672301;16.603870392128904
Minas Gerais;10.12392606;58.110392749999995;5.63723689;13.873409180400987;11.106411148257337;14.958706284461359;20.43078333041464;21.043379679123024;18.587310377342646
Espírito Santo;1.9066830900000002;58.8053144;5.85302246;15.736292584456619;13.195503263161015;14.411433576958398;19.10755806169165;20.43297570974621;17.11623680398611
Rio de Janeiro;8.26422546;59.90697639;6.846210299999999;16.822768446416916;12.66168564901239;14.65616769902457;17.194948176373025;19.20972545491754;19.454704574255558
São Paulo;21.89468906;45.70786719;3.8699786799999996;16.46910797879767;7.361989381241672;17.292132643791906;18.972038355306033;19.216534202506505;20.688197438356212
Paraná;5.45565063;45.66026696;3.7695579200000005;14.628185032994114;13.259551142372436;13.022216564409556;20.954452270490474;20.203287746808375;17.93230724292505
Santa Catarina;3.39078959;40.01068229;2.63743894;13.627347679390992;16.466340350026066;14.012369619483845;21.01126321198736;19.298625028501153;15.584054110610587
Rio Grande do Sul;5.4519339;53.56241329;4.69897913;15.332854340882113;14.485012410169274;18.534699118546648;19.199207481172852;17.05393392203734;15.394292727191768
Mato Grosso do Sul;1.28734894;68.98845828;6.682527350000001;14.874845025706703;13.874108143493459;13.72697695223089;20.232876581242422;20.432322782742133;16.858870514584396
Mato Grosso;1.6269111900000002;74.74170975;7.87796942;14.206230710154793;18.237871348114844;11.461136327100421;18.533362750152858;18.02557935776992;19.535819506707163
Goiás;3.32200223;69.17814363;8.06512706;14.103191615011356;15.265924830544748;15.03199717250459;17.755509674330064;17.395231997467768;20.448144710141474
Distrito Federal;1.42600489;57.82129544;5.65445832;14.416504214849969;12.042283773420445;19.665215359434164;16.21062168467513;16.78269608319435;20.88267888442595
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Pesquisas por Amostra de Domicílios, Pesquisa de Orçamentos Familiares 2017-2018;;;;;;;;;
Nota: IVM-NM - Índice de Vulnerabilidade Multidimensional não Monetário ;;;;;;;;;
